Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Iñaki Peña,0,,0,0,0,0.0,0,0,20,1,0.0,1,0,658,74.02,3
Iñaki Williams,1,3.19,5,5,31,3.23,5,1,5,0,0.0,4,2,166,72.17,12
Iñigo Arguibide,0,,0,0,0,0.0,3,2,6,0,1.0,0,0,24,63.16,1
Iñigo Ruiz de Galarreta,1,0.58,0,25,14,7.14,40,10,11,0,3.0,2,1,632,83.49,14
Jairo Izquierdo,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,11,84.62,0
Jan Oblak,0,,0,0,0,0.0,0,0,18,0,0.0,0,0,482,74.15,0
Jan Salas,0,,0,1,0,0.0,0,0,1,0,,0,0,6,60.0,0
Jan Virgili,0,1.6,0,33,21,0.0,10,4,7,0,2.0,7,4,208,76.19,24
Jano Monserrate,0,,0,0,0,0.0,2,0,0,0,0.0,0,0,5,83.33,0
Javi Galán,0,0.1,0,18,2,0.0,21,10,25,0,0.0,1,1,271,84.16,14
Javi Llabrés,0,0.31,1,1,4,0.0,3,0,3,0,0.0,0,0,36,81.82,1
Javi López,0,0.06,0,3,1,0.0,17,3,17,0,1.0,1,0,157,75.48,9
Javi Puado,2,3.47,6,5,15,13.33,4,3,3,0,1.0,2,0,167,83.92,10
Javi Rodríguez,0,0.5,1,5,8,0.0,24,13,53,1,7.0,0,0,975,90.7,7
Javier Guerra,0,1.12,2,12,13,0.0,12,13,18,0,3.0,3,2,411,78.59,11
Javier Muñoz,0,0.34,0,4,12,0.0,7,4,6,0,1.0,0,0,107,66.88,5
Javier Rueda,2,1.01,1,12,8,25.0,12,12,22,0,5.0,4,3,231,74.04,5
Jeremy Toljan,1,0.81,0,1,6,16.67,40,21,56,0,13.0,8,3,461,74.35,18
Jesús Areso,0,0.12,0,12,3,0.0,17,15,34,0,7.0,3,1,391,83.73,17
Jesús Vázquez,0,0.25,0,16,6,0.0,14,1,18,0,3.0,0,0,210,87.14,7
Jhon Solís,0,0.16,0,3,3,0.0,3,4,8,0,1.0,0,0,145,88.41,1
Joan García,0,,0,1,0,0.0,3,1,21,1,0.0,0,0,427,89.14,0
Joan Jordán,0,,0,0,0,0.0,0,0,6,0,0.0,0,0,21,77.78,0
Job Ochieng,0,,0,0,0,0.0,1,0,0,0,0.0,0,0,9,75.0,2
Joel Roca,1,1.39,1,25,22,4.55,13,1,9,0,1.0,1,0,170,82.93,9
Jofre Carreras,0,0.7,0,15,12,0.0,6,4,6,0,0.0,2,0,100,72.46,10
Jofre Torrents,0,,0,0,0,0.0,2,0,2,0,0.0,0,0,30,88.24,0
Johan Mojica,0,0.32,0,12,12,0.0,42,13,61,0,2.0,4,3,582,76.68,21
John Donald,1,0.38,0,2,5,20.0,11,4,9,0,1.0,0,0,184,89.76,0
Johnny Cardoso,0,0.08,0,3,2,0.0,21,7,10,0,2.0,1,0,241,88.28,2
Jon Ander Olasagasti,1,0.23,0,2,7,14.29,12,5,13,0,5.0,3,2,202,78.6,7
Jon Aramburu,1,1.47,2,4,15,6.67,72,26,61,0,6.0,0,0,652,79.13,7
Jon Gorrotxategi,1,0.64,0,8,10,10.0,37,30,31,0,7.0,2,3,748,84.9,12
Jon Guridi,0,1.04,2,4,6,0.0,9,3,6,0,0.0,0,0,195,78.95,1
Jon Karrikaburu,0,0.9,2,0,6,0.0,1,0,0,0,0.0,0,0,10,58.82,1
Jon Martin,0,0.96,2,6,11,0.0,16,21,84,0,5.0,0,0,690,91.51,2
Jon Moncayola,0,1.65,3,10,16,0.0,31,15,33,0,3.0,7,4,714,78.9,26
Jon Pacheco,0,0.3,0,2,4,0.0,33,11,86,0,18.0,1,0,720,86.54,5
Jones El-Abdellaoui,2,2.28,2,10,12,16.67,3,1,9,0,0.0,0,0,89,83.96,7
Jonny Otto,0,0.39,2,18,6,0.0,47,31,43,0,8.0,2,0,1034,86.09,12
Jorge Cabello,0,,0,2,0,0.0,7,0,22,1,4.0,0,0,106,86.18,0
Jorge Cestero,0,,0,0,0,0.0,1,0,1,0,0.0,0,0,4,66.67,0
Jorge Herrando,0,0.29,1,2,3,0.0,24,11,75,0,8.0,1,1,356,83.96,2
Jorge Montes,0,,0,2,0,0.0,3,0,0,0,0.0,1,0,8,88.89,1
Jorge de Frutos,7,5.45,7,15,32,21.88,20,4,8,0,0.0,1,1,189,76.83,19
Josan,0,0.26,0,5,3,0.0,7,1,4,0,1.0,3,2,149,89.76,11
Jose Salinas,0,,0,3,0,0.0,2,2,5,0,2.0,0,0,92,85.98,4
Josep Chavarría,1,0.45,1,12,14,7.14,40,25,58,1,12.0,3,2,796,84.95,16
Joseph Aidoo,0,0.24,2,1,2,0.0,2,4,18,0,1.0,0,0,77,91.67,0
Josip Brekalo,0,0.29,0,4,9,0.0,12,3,1,0,0.0,3,0,152,72.73,11
José Copete,0,1.49,3,7,11,0.0,25,22,109,1,15.0,0,0,807,86.03,5
José Luis Gayà,1,0.64,1,5,8,12.5,40,11,50,1,5.0,2,1,448,81.45,13
José Luis Morales,1,2.02,4,9,8,12.5,7,3,2,0,1.0,2,1,78,72.22,6
José Luis Pérez,0,0.04,0,0,1,0.0,0,0,2,0,0.0,0,0,1,25.0,0
José María Giménez,0,1.32,2,0,9,0.0,11,10,33,0,6.0,0,0,457,89.78,0
José Ángel Carmona,1,0.53,1,13,14,7.14,50,26,58,1,7.0,3,3,704,82.34,11
Jozhua Vertrouwd,0,0.05,0,0,1,0.0,4,3,13,1,3.0,0,0,126,92.65,2
João Cancelo,0,,0,1,0,0.0,3,1,3,0,0.0,1,0,53,88.33,1
Juan Arango,0,,0,2,0,0.0,0,0,0,0,0.0,0,0,3,100.0,0
Juan Cruz,0,0.39,1,2,1,0.0,4,3,21,0,4.0,0,0,177,87.19,2
Juan Foyth,0,0.12,0,3,2,0.0,20,16,56,0,10.0,0,0,507,89.73,0
Juan Iglesias,1,0.88,0,19,18,5.56,61,14,79,2,6.0,2,2,377,65.57,9
Juan Musso,0,,0,0,0,0.0,0,0,1,0,0.0,0,0,25,96.15,0
Juanlu Sánchez,0,0.66,0,17,10,0.0,41,8,22,0,0.0,3,2,431,82.25,17
Juanmi,1,0.15,2,1,2,50.0,2,0,0,0,0.0,0,0,24,66.67,3
Jude Bellingham,4,5.35,6,23,36,11.11,41,12,12,0,1.0,3,3,738,89.89,30
Julen Agirrezabala,0,,0,0,0,0.0,2,0,25,0,0.0,0,0,344,69.64,1
Jules Koundé,1,1.12,3,15,10,10.0,34,18,44,0,9.0,3,1,1148,90.25,13
Julián Alvarez,7,6.88,7,22,46,15.22,14,2,4,0,0.0,9,3,472,82.95,42
Junior Firpo,0,0.46,0,3,5,0.0,19,6,23,1,1.0,2,1,218,82.89,7
Kareem Tunde,0,0.25,0,6,5,0.0,7,3,2,0,0.0,1,0,52,68.42,2
Kervin Arriaga,1,0.28,0,4,7,14.29,26,9,33,1,9.0,1,1,418,83.77,3
Kike Barja,0,0.06,0,2,1,0.0,4,0,4,0,1.0,0,0,32,68.09,2
Kike García,3,4.68,6,7,32,9.38,7,3,11,0,1.0,3,1,125,61.58,15
Kike Salas,1,0.86,0,2,10,10.0,25,20,82,0,9.0,0,0,613,82.28,3
Kiko Femenía,0,0.12,0,5,5,0.0,31,25,32,0,2.0,1,1,375,79.45,12
Koke,2,0.37,0,2,8,25.0,33,13,21,0,1.0,2,2,1155,92.55,18
Kwasi Sibo,0,0.27,0,2,6,0.0,13,5,12,0,2.0,0,0,279,87.74,2
Kylian Mbappé,23,20.5,14,62,109,21.1,2,2,0,0,0.0,8,4,651,87.15,53
Ladislav Krejčí,0,0.12,0,0,1,0.0,2,1,1,0,,0,0,92,88.46,0
Lamine Yamal,10,7.56,4,99,80,12.5,27,7,3,0,0.0,20,8,781,81.1,54
Lander Astiazaran,0,0.03,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0.0,0
Lander Pinillos,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,1,100.0,0
Largie Ramazani,1,1.48,1,9,11,9.09,3,1,0,0,0.0,1,1,47,74.6,2
Lass Kourouma,0,,0,0,0,0.0,0,1,0,0,0.0,0,0,10,76.92,0
Leander Dendoncker,1,0.8,1,4,9,11.11,36,12,34,0,7.0,0,0,474,86.34,6
Leandro Cabrera,3,2.22,4,4,27,11.11,24,14,114,1,13.0,1,0,749,81.24,6
Leo Román,0,,0,0,0,0.0,1,1,15,2,0.0,0,0,351,65.0,0
